id,title,authors,average_rating,isbn,language_code,num_pages,publication_date,category,publisher,image_url,,,
92,Charlotte's Web,Heidi Hayes Jacobs,3.68,871202867,en-US,108,1/28/1997,Chick lit,Association for Supervision & Curriculum Development,https://images.gr-assets.com/books/1439632243m/24178.jpg,,,
93,The Curious Incident of the Dog in the Night-Time,Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,eng,352,11/15/2002,Children's,Kingfisher,https://images.gr-assets.com/books/1479863624m/1618.jpg,,,
94,The Girl on the Train,Heidi Hayes Jacobs,3.25,871209993,eng,192,11/15/2004,Classic,ASCD,https://images.gr-assets.com/books/1490903702m/22557272.jpg,,,
96,Northern Lights,Rolland Baker/Heidi Baker,4.46,1852402873,eng,192,4/28/2003,Comic book,Sovereign World,https://images.gr-assets.com/books/1451271747m/119322.jpg,,,
98,Wuthering Heights,Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,eng,832,10/16/2003,Coming-of-age,Workman Publishing Company,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
99,My Sister's Keeper,Heidi Fleiss/Libby Keatinge,3.82,972016414,eng,123,5/10/2004,Crime,One Hour Entertainment,https://images.gr-assets.com/books/1369504683m/10917.jpg,,,
100,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Heidi Boyd,3.78,1581805632,en-US,128,8/19/2004,Drama,North Light Books,https://images.gr-assets.com/books/1440319389m/4981.jpg,,,
103,Gone with the Wind,Frank Herbert,3.84,441294677,eng,423,6/15/1987,Fairytale,Ace Books,https://images.gr-assets.com/books/1328025229m/18405.jpg,,,
105,A Thousand Splendid Suns,Frank Herbert,3.91,441102670,eng,436,7/1/1987,Fantasy,Ace Books,https://images.gr-assets.com/books/1345958969m/128029.jpg,,,
106,The Perks of Being a Wallflower,Frank Herbert,3.88,441172695,eng,331,7/15/1987,Graphic novel,Ace Books,https://images.gr-assets.com/books/1167352178m/22628.jpg,,,
107,Insurgent,Brian Herbert,4.01,765306476,en-US,592,7/1/2004,Historical fiction,Tor Books,https://images.gr-assets.com/books/1325667729m/11735983.jpg,,,
109,Ender's Game,Frank Herbert,3.86,399128980,eng,480,4/16/1984,Horror,Putnam,https://images.gr-assets.com/books/1408303130m/375802.jpg,,,
110,"Frankenstein; or, The Modern Prometheus",Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,eng,426,8/29/2006,Mystery,Tor Science Fiction,https://images.gr-assets.com/books/1381512375m/18490.jpg,,,
117,The Shining,Frank Herbert,3.86,441328008,eng,471,8/15/1987,Paranormal romance,Ace Books,https://images.gr-assets.com/books/1353277730m/11588.jpg,,,
119,The Host,Gary Russell,4.59,618212906,eng,192,6/12/2002,Picture book,Houghton Mifflin Harcourt,https://images.gr-assets.com/books/1318009171m/1656001.jpg,,,
122,Looking for Alaska,Bryce Courtenay,4.35,034541005X,eng,544,9/29/1996,Poetry,Ballantine Books,https://images.gr-assets.com/books/1394798630m/99561.jpg,,,
123,,Bryce Courtenay,4.35,385732546,eng,291,9/13/2005,Political thriller,Delacorte Books for Young Readers,https://images.gr-assets.com/books/1292060045m/227443.jpg,,,
129,Sense and Sensibility,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,en-US,256,11/1/2004,Romance,Thomas Nelson,https://images.gr-assets.com/books/1397245675m/14935.jpg,,,
130,Holes,Dave Lakhani,3.34,471780936,eng,205,5/19/2006,Satire,Wiley,https://images.gr-assets.com/books/1327781893m/38709.jpg,,,
131,The Devil Wears Prada,Louis E. Catron,3.67,325001537,eng,240,2/7/2000,Science fiction,Heinemann Drama,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
132,Ὀδύσσεια,Adam Ginsberg,3.48,006076287X,eng,336,5/3/2005,Short story,William Morrow Paperbacks,https://images.gr-assets.com/books/1390173285m/1381.jpg,,,
133,Le Petit Prince,Marsha Collier,3.5,470045299,eng,386,10/30/2006,Suspense,Wiley,https://images.gr-assets.com/books/1367545443m/157993.jpg,,,
135,The Glass Castle,Chris Malta/Lisa Suttora,3.62,72262788,eng,260,1/24/2006,Thriller,McGraw-Hill,https://images.gr-assets.com/books/1400930557m/7445.jpg,,,
137,Into the Wild,Marsha Collier,3.55,764569244,eng,384,9/17/2004,Western,Wiley,https://images.gr-assets.com/books/1403173986m/1845.jpg,,,
138,A Tale of Two Cities,Julia Wilkinson,4.27,471933821,eng,260,6/6/2006,Young adult,Wiley,https://images.gr-assets.com/books/1344922523m/1953.jpg,,,
139,Jurassic Park,Marsha Collier,3.39,764559915,en-US,391,5/31/2004,Art/architecture,Wiley,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
140,The Giving Tree,Marsha Collier,3.89,764584383,en-US,864,4/25/2005,Autobiography,Wiley,https://images.gr-assets.com/books/1174210942m/370493.jpg,,,
141,A Time to Kill,Lucas Carlson/Leonard Richardson,3.84,596523696,eng,873,7/29/2006,Biography,O'Reilly Media,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
142,Un di Velt Hot Geshvign,Ruby Ann Boxcar,4.12,806523492,eng,240,5/3/2005,Business/economics,Citadel,https://images.gr-assets.com/books/1473495285m/1617.jpg,,,
144,Paper Towns,Ruby Ann Boxcar,4.08,806525363,eng,206,5/3/2005,Crafts/hobbies,Citadel,https://images.gr-assets.com/books/1349013610m/6442769.jpg,,,
147,The Princess Bride,Rob Orsini,3.48,596527314,eng,514,1/1/2007,Cookbook,O'Reilly Media,https://images.gr-assets.com/books/1327903636m/21787.jpg,,,
151,The Outsiders,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,eng,838,5/31/2004,Diary,Penguin Classics,https://images.gr-assets.com/books/1442129426m/231804.jpg,,,
152,The Maze Runner,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,eng,960,11/5/2002,Dictionary,Signet,https://images.gr-assets.com/books/1375596592m/6186357.jpg,,,
153,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,eng,837,1/30/2003,Encyclopedia,Penguin Books,https://images.gr-assets.com/books/1327909092m/1202.jpg,,,
154,The Secret Garden,Marianne Sturman/Leo Tolstoy,3.85,822001837,eng,80,11/26/1965,Guide,Cliffs Notes,https://images.gr-assets.com/books/1327873635m/2998.jpg,,,
155,Cien años de soledad,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,eng,803,7/1/2003,Health/fitness,Barnes & Noble Classics,https://images.gr-assets.com/books/1327881361m/320.jpg,,,
156,The Picture of Dorian Gray,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,eng,752,11/23/2004,History,Dover Publications,https://images.gr-assets.com/books/1424596966m/5297.jpg,,,
157,Fifty Shades Freed,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,eng,803,8/26/2004,Home and garden,Barnes & Noble,https://images.gr-assets.com/books/1336418837m/13536860.jpg,,,
159,Dracula,Gloria Goldreich,2.99,778322270,eng,360,1/28/2006,Humor,Mira Books,https://images.gr-assets.com/books/1387151694m/17245.jpg,,,
160,Flickan som lekte med elden,Anthony Thorlby,4.19,521313252,eng,128,11/26/1987,Journal,Cambridge University Press,https://images.gr-assets.com/books/1351778881m/5060378.jpg,,,
162,Fifty Shades Darker,Mulk Raj Anand/E.M. Forster,3.71,140183957,eng,160,7/3/1990,Math,Penguin Books,https://images.gr-assets.com/books/1358266080m/11857408.jpg,,,
163,The Poisonwood Bible,John Banville,3.95,679767479,eng,367,6/30/1998,Memoir,Vintage,https://images.gr-assets.com/books/1412242487m/7244.jpg,,,
164,Me Talk Pretty One Day,Eliot Ness/Oscar Fraley,3.89,1568491980,eng,256,2/1/1996,Philosophy,Buccaneer Books,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
165,Where the Wild Things Are,Narendra Jadhav,3.82,743270797,en-US,320,9/27/2005,Prayer,Scribner,https://images.gr-assets.com/books/1384434560m/19543.jpg,,,
166,Le Comte de Monte-Cristo,V.T. Rajshekar/Y.N. Kly,4.2,932863051,eng,100,1/28/1995,"Religion, spirituality, and new age",Clarity Press,https://images.gr-assets.com/books/1309203605m/7126.jpg,,,
168,The Road,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,eng,224,12/20/2000,Textbook,Rowman & Littlefield Publishers,https://images.gr-assets.com/books/1439197219m/6288.jpg,,,
171,Allegiant,Barry R. Cournoyer,3.4,205358624,eng,216,9/22/2003,True crime,Pearson,https://images.gr-assets.com/books/1395582745m/18710190.jpg,,,
177,Bossypants,John Carratello/Patty Carratello/Theresa Wright,4,1557344035,eng,48,9/28/1991,Review,Teacher Created Resources,https://images.gr-assets.com/books/1481509554m/9418327.jpg,,,
180,A Walk to Remember,George Smoot/Keay Davidson,4.01,380720442,eng,360,10/1/1994,Science,Harper Perennial,https://images.gr-assets.com/books/1385738968m/3473.jpg,,,
181,Confessions of a Shopaholic,Madeleine L'Engle,4,821925326,eng,250,5/1/2002,Self help,EMC/Paradigm Publishing,https://images.gr-assets.com/books/1327872404m/9416.jpg,,,
182,Les Misérables,Tara MacCarthy,3.6,043927169X,eng,32,1/1/2002,Sports and leisure,Teaching Resources,https://images.gr-assets.com/books/1411852091m/24280.jpg,,,
201,A Clash of Kings,Madeleine L'Engle,4,606105263,spa,205,6/1/1984,Travel,Turtleback Books,https://images.gr-assets.com/books/1358254974m/10572.jpg,,,
204,The Memory Keeper's Daughter,Cynthia Harrod-Eagles,4.12,751506435,eng,367,6/1/1994,True crime,Little  Brown Book Group,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
205,Me Before You,Charles Todd,4.11,006078671X,eng,352,1/3/2006,Action and adventure,William Morrow,https://images.gr-assets.com/books/1357108762m/15507958.jpg,,,
207,Catch-22,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,en-US,320,11/1/2005,Alternate history,Atria Books,https://images.gr-assets.com/books/1463157317m/168668.jpg,,,
208,Tuesdays with Morrie,Daniel Abraham,3.6,765313405,eng,331,3/7/2006,Anthology,Tor Books,https://images.gr-assets.com/books/1423763749m/6900.jpg,,,
213,Middlesex,Charles Willeford/James Lee Burke,3.9,1400032490,eng,244,8/10/2004,Chick lit,Vintage Crime/Black Lizard,https://images.gr-assets.com/books/1437029776m/2187.jpg,,,
214,The Adventures of Tom Sawyer,Charles Willeford/Lawrence Block,4.05,1400032482,eng,215,3/8/2005,Children's,Vintage Crime/Black Lizard,https://images.gr-assets.com/books/1404811979m/24583.jpg,,,
216,A Wrinkle in Time,Charles Willeford/Elmore Leonard,3.94,1400032466,eng,191,8/10/2004,Classic,Vintage Crime/Black Lizard,https://images.gr-assets.com/books/1329061522m/18131.jpg,,,
230,The Joy Luck Club,Charles Willeford,3.89,679732527,eng,144,10/3/1990,Comic book,Vintage,https://images.gr-assets.com/books/1304978653m/7763.jpg,,,
231,The Handmaid's Tale,Tom Wolfe,3.42,312424442,eng,738,8/30/2005,Coming-of-age,Picador USA,https://images.gr-assets.com/books/1498057733m/38447.jpg,,,
237,The Sisterhood of the Traveling Pants,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772,eng,48,10/1/2001,Crime,Sterling,https://images.gr-assets.com/books/1461611233m/452306.jpg,,,
244,Lolita,Quentin Blake,4.02,140366601,eng,287,10/3/1996,Drama,Puffin,https://images.gr-assets.com/books/1377756377m/7604.jpg,,,
245,Wicked: The Life and Times of the Wicked Witch of the West,Henry Miller/Thomas H. Moore,4.22,811201120,eng,217,2/1/1964,Fairytale,New Directions Publishing,https://images.gr-assets.com/books/1437733293m/37442.jpg,,,
247,The Firm,Henry Miller,3.69,080213016X,eng,154,1/13/1994,Fantasy,Grove Press,https://images.gr-assets.com/books/1418465200m/5358.jpg,,,
249,Room,Henry Miller/Jiří Níl,3.68,802131786,eng,318,1/6/1994,Graphic novel,Grove Press,https://images.gr-assets.com/books/1344265419m/7937843.jpg,,,
250,"The Tragicall Historie of Hamlet, Prince of Denmark",Henry Miller,3.78,802151825,eng,348,1/13/1994,Historical fiction,Grove Press,https://images.gr-assets.com/books/1351051208m/1420.jpg,,,
251,Dune,Henry Miller,4.1,802151787,eng,316,1/13/1994,Horror,Grove Press,https://images.gr-assets.com/books/1434908555m/234225.jpg,,,
252,The Tipping Point: How Little Things Can Make a Big Difference,Henry Miller,3.98,802151809,eng,506,1/12/1994,Mystery,Grove Press,https://images.gr-assets.com/books/1473396980m/2612.jpg,,,
253,Steve Jobs,Henry Miller,3.83,811201066,eng,292,1/17/1970,Paranormal romance,New Directions,https://images.gr-assets.com/books/1327861368m/11084145.jpg,,,
264,One Flew Over the Cuckoo's Nest,Henry James/Patricia Crick,3.78,141439637,eng,797,9/30/2003,Picture book,Penguin Classics,https://images.gr-assets.com/books/1485308778m/332613.jpg,,,
269,The Old Man and the Sea,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,eng,635,1/16/2004,Poetry,Barnes  Noble Classics,https://images.gr-assets.com/books/1329189714m/2165.jpg,,,
277,The Grapes of Wrath,Marguerite Duras,3.75,1571290532,eng,91,5/6/1999,Political thriller,Brookline Books,https://images.gr-assets.com/books/1352912927m/4395.jpg,,,
278,The Five People You Meet in Heaven,Marguerite Duras/Barbara Bray,3.85,1565842219,eng,192,8/1/1994,Romance,The New Press,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
280,Anne of Green Gables,Marguerite Duras/Richard Seever,3.66,394743040,en-US,181,3/12/1986,Satire,Pantheon,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
285,City of Glass,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,eng,178,7/1/1999,Science fiction,One World (UK),https://images.gr-assets.com/books/1369452339m/3777732.jpg,,,
288,A Storm of Swords,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,eng,464,4/1/1998,Short story,Interlink Publishing Group,https://images.gr-assets.com/books/1497931121m/62291.jpg,,,
289,Divine Secrets of the Ya-Ya Sisterhood,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,eng,102,1/1/1998,Suspense,Penguin Books,https://images.gr-assets.com/books/1408313524m/137791.jpg,,,
290,Outlander,Kahlil Gibran/جبران خليل جبران,3.98,394431243,eng,216,2/21/1995,Thriller,Knopf,https://images.gr-assets.com/books/1402600310m/10964.jpg,,,
291,The Scarlet Letter,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,806501901,eng,132,3/3/2003,Western,Citadel,https://images.gr-assets.com/books/1404810944m/12296.jpg,,,
292,Miss Peregrine’s Home for Peculiar Children,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,eng,100,6/14/2011,Young adult,Knopf,https://images.gr-assets.com/books/1472782916m/9460487.jpg,,,
295,Luftslottet som sprängdes,Robert Louis Stevenson,3.83,753453800,eng,311,9/15/2001,Art/architecture,Kingfisher,https://images.gr-assets.com/books/1327708260m/6892870.jpg,,,
296,The Martian,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,en-US,213,10/1/2004,Autobiography,Sterling Children's Books,https://images.gr-assets.com/books/1413706054m/18007564.jpg,,,
297,The Pillars of the Earth,Robert Louis Stevenson,3.83,1416500294,eng,245,6/1/2005,Biography,Simon & Schuster,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
298,,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,689854684,eng,64,7/1/2003,Business/economics,Atheneum Books for Young Readers,https://images.gr-assets.com/books/1451445646m/18143977.jpg,,,
299,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Robert Louis Stevenson/Milo Winter,3.83,517221144,en-US,272,9/3/2002,Crafts/hobbies,Gramercy Books,https://images.gr-assets.com/books/1327861115m/8664353.jpg,,,
302,Deception Point,Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,eng,232,1/31/2006,Cookbook,Abdo Publishing Company,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,
313,The Goldfinch,Ralph Ginzburg,4.61,933121180,eng,270,11/22/1996,Diary,Black Classic Press,https://images.gr-assets.com/books/1451554970m/17333223.jpg,,,
324,Thirteen Reasons Why,Gabriel García Márquez,4.07,785950109,spa,448,1/1/1990,Dictionary,French & European,https://images.gr-assets.com/books/1333822506m/1217100.jpg,,,
